date, time: 2019-11-18, 17-01-48
1:expl_var_test 2:expl_var_train 3:VLB 4:used_labels 5:mf_iter 6:inf_time 7:pred_time
0.1892768057284876 0.08450918370584504 -12080.760410577575 5 150 13.766634600000089 1.330451400000129
0.19218757721128787 0.10340900758938498 -12090.504804696782 5 150 16.092864899999768 1.3281519000001936
0.1910238731195537 0.09000223143980068 -12206.525555617422 4 150 15.612896000000092 1.091814400000203
0.19115152295811455 -0.8387406420178455 -12205.126460717167 4 150 15.623086499999772 1.1158040000000256
0.19106385357854383 0.11977009159662311 -12195.09512217636 4 150 16.25431690000005 1.0929226000002927
0.1910545455695304 0.07901644744887015 -12207.325201973497 4 150 16.05706710000004 1.1068924000001061
0.1286421955239062 0.07910939199805533 -12910.417494767527 4 150 14.220649899999898 1.1061155000002145
0.18971831926183813 0.08664268346023773 -12095.37248146024 5 150 14.498221199999989 1.3275671999999759
0.1471768192529771 0.09870551707679143 -12515.18857134454 3 150 12.99954630000002 0.8843372000001182
0.189403586598475 0.11472652768685399 -12215.830330076049 4 150 14.226467599999978 1.2609754000000066
0.19119249059660637 0.11472598888948238 -12213.414305456034 4 150 14.52628649999997 1.098789399999987
0.19107910662691027 0.10141648402249714 -12202.914613761146 4 150 16.16249310000012 1.107930899999701
0.011721696800703563 0.08355899457795979 -13007.2917406962 3 150 14.354009399999995 0.8778909000002386
0.18757231874673208 0.1169210645279455 -12076.230671233603 5 150 13.617400699999962 1.3306794000000082
0.03426439027282191 0.021618133746386655 -13034.90254501456 2 150 14.71659310000041 0.6439306999996006
0.18936230707675172 0.09379437063133633 -12081.419204502985 5 150 16.728979399999844 1.3307479999998577
0.18970135813517974 0.004559379815457398 -12095.398438801549 5 150 15.765646800000013 1.3100475000001097
0.1591233083457203 -0.09746540107919956 -12508.266714836034 3 150 15.180522999999994 0.8654908000003161
0.14617080934391913 0.04699590283044275 -12516.036413739834 3 150 13.206466499999806 0.8897069999998166
0.19108418489788026 0.07161386351676746 -12207.694177954927 4 150 15.457378499999777 1.2488158000001022
0.18913756445018637 0.11340590565240882 -12082.33732976651 5 150 17.419854100000066 1.332998299999872
0.1910526547917798 0.08672453971536508 -12194.012160992497 4 150 19.049810100000286 1.127977799999826
0.18929365472013937 0.06408475692647353 -12080.469936107298 5 150 16.852981699999873 1.31811050000033
0.18933700747733462 0.10465144903754409 -12076.840797567496 5 150 16.359049700000014 1.3750338999998348
0.03596739799139015 -0.0713356554083906 -12900.326858761477 3 150 14.002055199999631 0.8989377999996577
0.14730526139875577 0.04977492699477659 -12682.431889403118 4 150 18.03947220000009 1.1244047000000137
0.19104286022464512 0.11501358294689978 -12206.453720302372 4 150 15.28172429999995 1.1169992000000093
0.19005288691692213 0.054020116142067025 -12091.582394269377 5 150 14.154023599999618 2.157046899999841
0.18985924586505332 0.11091203186110288 -12079.60673071528 5 150 16.153154600000107 1.3440513000000465
0.19004828983348054 0.11017357439139497 -12089.605792634824 5 150 17.301082699999824 1.337889400000222
0.18877817948797004 0.10845450184300065 -12077.262395234857 5 150 16.087060199999996 1.3318171999999322
0.03375558912236676 -0.29557219476273167 -13027.490576566766 2 150 16.28034000000025 1.1975822000003973
0.19088796489544013 0.11587536673965693 -12204.52098837073 4 150 17.936490200000208 1.1709389000002375
0.1502712286301453 0.34874693026905534 -12254.132447833239 5 150 16.70473889999994 1.4325776999999107
